"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Cipó (BA)","BA","40","16.257","246,0"
"Mirandiba (PE)","PE","35","14.231","245,9"
"Arapongas (PR)","PR","251","102.085","245,9"
"Matriz de Camaragibe (AL)","AL","59","24.028","245,5"
"Barro Alto (GO)","GO","21","8.553","245,5"
"Edéia (GO)","GO","27","10.997","245,5"
"Jaguari (RS)","RS","27","11.019","245,0"
"Urânia (SP)","SP","21","8.576","244,9"
"Campos Altos (MG)","MG","34","13.892","244,7"
"Guaraí (TO)","TO","56","22.906","244,5"
"Carmo (RJ)","RJ","41","16.776","244,4"
"Santa Bárbara do Sul (RS)","RS","21","8.601","244,2"
"Pedra Bonita (MG)","MG","16","6.559","243,9"
"Divinolândia (SP)","SP","27","11.078","243,7"
"Piedade do Rio Grande (MG)","MG","11","4.528","242,9"
"São Vicente Férrer (PE)","PE","41","16.884","242,8"
"Rio Negro (MS)","MS","12","4.950","242,4"
"Jaçanã (RN)","RN","19","7.838","242,4"
"Pouso Redondo (SC)","SC","35","14.441","242,4"
"Ribeirão Vermelho (MG)","MG","9","3.716","242,2"
"Ouriçangas (BA)","BA","20","8.262","242,1"
"Aperibé (RJ)","RJ","24","9.922","241,9"
"Romelândia (SC)","SC","13","5.376","241,8"
"Pindobaçu (BA)","BA","48","19.854","241,8"
"Minas do Leão (RS)","RS","18","7.446","241,7"
"Amaporã (PR)","PR","13","5.378","241,7"
"Candiba (BA)","BA","32","13.255","241,4"
"Alta Floresta D'Oeste (RO)","RO","58","24.107","240,6"
"Alfredo Wagner (SC)","SC","22","9.148","240,5"
"Buriti de Goiás (GO)","GO","6","2.495","240,5"
"Itabaiana (PB)","PB","58","24.138","240,3"
"Itaguaçu (ES)","ES","33","13.736","240,2"
"Arneiroz (CE)","CE","18","7.494","240,2"
"Talismã (TO)","TO","6","2.498","240,2"
"Maçambará (RS)","RS","11","4.580","240,2"
"Miradouro (MG)","MG","24","10.005","239,9"
"Riacho de Santo Antônio (PB)","PB","4","1.669","239,7"
"Ribeirão Cascalheira (MT)","MT","21","8.768","239,5"
"Leopoldina (MG)","MG","119","49.686","239,5"
"Guaíra (PR)","PR","72","30.069","239,4"
"São João da Baliza (RR)","RR","16","6.690","239,2"
"Nova Guataporanga (SP)","SP","5","2.093","238,9"
"Ubaíra (BA)","BA","46","19.264","238,8"
"Lago da Pedra (MA)","MA","109","45.720","238,4"
"Janiópolis (PR)","PR","15","6.312","237,6"
"Formosa do Sul (SC)","SC","6","2.525","237,6"
"Dom Cavati (MG)","MG","12","5.051","237,6"
"Quintana (SP)","SP","14","5.898","237,4"
"Lagarto (SE)","SE","222","93.533","237,3"
"Sabáudia (PR)","PR","14","5.901","237,2"
"Guzolândia (SP)","SP","11","4.638","237,2"
"Vitória Brasil (SP)","SP","4","1.687","237,1"
"Jaguariaíva (PR)","PR","76","32.103","236,7"
"Santiago (RS)","RS","113","47.737","236,7"
"Mata Grande (AL)","AL","58","24.549","236,3"
"Charqueada (SP)","SP","35","14.828","236,0"
"Jardim (CE)","CE","62","26.288","235,8"
"Itapirapuã (GO)","GO","18","7.633","235,8"
"Cambará do Sul (RS)","RS","15","6.366","235,6"
"Cabeceiras do Piauí (PI)","PI","23","9.763","235,6"
"Pinheiro Machado (RS)","RS","29","12.321","235,4"
"Andirá (PR)","PR","47","20.007","234,9"
"São José da Laje (AL)","AL","53","22.575","234,8"
